"Anansi"|"44"|"2"|"18"|"23 September 2018"|"0.272058823529412"|"0.657142857142857"|"8"|"-0.323243526052945"|"Marinette"|"Alya"|"Marinette and Nino"|"Anansi"|"Hawk Moth"|"Ladybug"|"Anansi"|"Nino"|"Alya"|"Marinette"|"17"
"Animaestro"|"56"|"3"|"4"|"5 May 2019"|"0.164855072463768"|"0.666666666666667"|"15"|"-0.288505535765794"|"Thomas"|"Marinette"|"Mrs. Tsurugi"|"Hawk Moth"|"Adrien"|"Marinette"|"Chloé"|"Thomas"|"Tikki"|"Tom"|"24"
"Animan"|"16"|"1"|"16"|"24 January 2016"|"0.201754385964912"|"0.65625"|"11"|"-0.382431542409185"|"Ladybug"|"Marinette"|"Animan"|"Kim"|"Nino"|"Ladybug"|"Cat Noir"|"Nino"|"Marinette"|"Animan"|"19"
"Antibug"|"17"|"1"|"17"|"31 January 2016"|"0.202380952380952"|"0.717948717948718"|"8"|"-0.341362165368179"|"Chloé"|"Marinette"|"Nadja"|"Hawk Moth"|"Antibug"|"Ladybug"|"Chloé"|"Cat Noir"|"Antibug"|"Vanisher"|"21"
"Backwarder"|"53"|"3"|"1"|"14 April 2019"|"0.110752688172043"|"0.73469387755102"|"11"|"-0.211080168522824"|"Marinette"|"Ladybug"|"Adrien"|"Announcer"|"Hawk Moth"|"Ladybug"|"Cat Noir"|"Marinette"|"Backwarder"|"Master Fu"|"31"
"Bakerix"|"57"|"3"|"5"|"12 May 2019"|"0.144736842105263"|"0.666666666666667"|"15"|"-0.280321357986273"|"Bakerix"|"Rolland"|"Ladybug"|"Marinette"|"Cat Noir"|"Marinette"|"Rolland"|"Tikki"|"Sabine"|"Hawk Moth"|"20"
"Befana"|"31"|"2"|"5"|"30 October 2017"|"0.224264705882353"|"0.740740740740741"|"23"|"-0.299700614111459"|"Befana"|"Marinette"|"Hawk Moth"|"Sabine"|"Adrien"|"Marinette"|"Tikki"|"Befana"|"Gina"|"Cat Noir"|"17"
"Captain Hardrock"|"39"|"2"|"13"|"20 May 2018"|"0.188095238095238"|"0.613333333333333"|"6"|"-0.279097466830295"|"Adrien"|"Captain Hardrock"|"Anarka"|"Nadja"|"Marinette"|"Marinette"|"Luka"|"Anarka"|"Alya"|"Captain Hardrock"|"21"
"Cat Blanc"|"73"|"3"|"21"|"10 November 2019"|"0.170995670995671"|"0.594594594594595"|"10"|"-0.127041716780591"|"Bunnyx"|"Marinette"|"Mylène"|"Alya"|"Adrien"|"Ladybug"|"Bunnyx"|"Cat Blanc"|"Adrien"|"Cat Noir"|"22"
"Catalyst"|"51"|"2"|"25"|"18 November 2018"|"0.0583673469387755"|"0.554744525547445"|"14"|"-0.0218101115960296"|"Marinette"|"Lila"|"Miss Bustier"|"Chloé"|"Hawk Moth"|"Marinette"|"Tikki"|"Lila"|"Adrien"|"Miss Bustier"|"50"
"Chameleon"|"55"|"3"|"3"|"28 April 2019"|"0.126984126984127"|"0.615384615384615"|"9"|"-0.277511321693051"|"Chameleon"|"Lila"|"Ladybug"|"Adrien"|"Hawk Moth"|"Marinette"|"Lila"|"Adrien"|"Miss Bustier"|"Ladybug"|"28"
"Christmaster"|"76"|"3"|"24"|"1 December 2019"|"0.127692307692308"|"0.625"|"11"|"-0.120399240448034"|"Soldier"|"Colonel Woof-Woof"|"Santa Claus"|"Marinette"|"Ladybug"|"Marinette"|"Chris"|"Ladybug"|"Santa Claus"|"Cat Noir"|"26"
"Copycat"|"9"|"1"|"9"|"28 October 2015"|"0.16403162055336"|"0.545454545454545"|"7"|"-0.150075138737685"|"Adrien"|"Alya"|"Marinette"|"Cat Noir"|"Copycat"|"Ladybug"|"Cat Noir"|"Copycat"|"Marinette"|"Théo"|"23"
"Crocoduel"|"87"|"4"|"9"|"29 August 2021"|"0.183333333333333"|"0.640776699029126"|"7"|"-0.0714290007172413"|"Ladybug"|"Shadow Moth"|"Captain Hardrock"|"Juleka"|"Rose"|"Marinette"|"Jagged"|"Luka"|"Juleka"|"Anarka"|"25"
"Dark Cupid"|"10"|"1"|"10"|"29 October 2015"|"0.202380952380952"|"0.586666666666667"|"7"|"-0.178086817301626"|"Chloé"|"Marinette"|"Hawk Moth"|"Kim"|"Miss Bustier"|"Marinette"|"Alya"|"Tikki"|"Ladybug"|"Cat Noir"|"21"
"Darkblade"|"12"|"1"|"12"|"6 December 2015"|"0.130541871921182"|"0.62"|"8"|"-0.286143733609915"|"Darkblade"|"Marinette"|"Adrien"|"Nadja"|"Chloé"|"Marinette"|"Chloé"|"Tikki"|"Alya"|"Sabrina"|"29"
"Dearest Family"|"96"|"4"|"18"|"31 October 2021"|"0.102521008403361"|"0.578947368421053"|"12"|"-0.0897519362461453"|"Marinette"|"Ladybug"|"Gina"|"The rest of the Kwamis"|"Cat Noir"|"Marinette"|"Tikki"|"Rolland"|"Tom"|"Gina"|"35"
"Despair Bear"|"29"|"2"|"3"|"27 October 2017"|"0.195652173913043"|"0.602150537634409"|"8"|"-0.117455131242084"|"Marinette"|"Tom"|"Chloé"|"Rose"|"Despair Bear"|"Chloé"|"Jean"|"Adrien"|"Marinette"|"Alya"|"23"
"Desperada"|"65"|"3"|"13"|"24 October 2019"|"0.124384236453202"|"0.48936170212766"|"10"|"-0.191327509646194"|"Jagged"|"Ladybug"|"Adrien"|"Desperada"|"Marinette"|"Ladybug"|"Aspik"|"Adrien"|"Luka"|"Plagg"|"29"
"Ephemeral"|"97"|"4"|"19"|"7 November 2021"|"0.0865079365079365"|"0.529411764705882"|"10"|"-0.194761913612633"|"Ladybug"|"Adrien"|"Moolak"|"Marinette"|"Shadow Moth"|"Ladybug"|"Cat Noir"|"Viperion"|"Su-Han"|"Adrien"|"36"
"Feast"|"68"|"3"|"16"|"28 October 2019"|"0.173160173160173"|"0.64"|"8"|"0.0262563683163673"|"Master Fu"|"Hawk Moth"|"Wayzz"|"Ladybug"|"Adrien"|"Ladybug"|"Master Fu"|"Cat Noir"|"Marinette"|"Wayzz"|"22"
"Félix"|"74"|"3"|"22"|"17 November 2019"|"0.133333333333333"|"0.690265486725664"|"7"|"-0.261300790844432"|"Félix"|"Marinette"|"Adrien"|"Reflekta"|"Lady Wifi"|"Adrien"|"Félix"|"Gabriel"|"Amelie"|"Plagg"|"30"
"Frightningale"|"42"|"2"|"16"|"10 June 2018"|"0.197619047619048"|"0.623376623376623"|"7"|"-0.150848519734053"|"Clara"|"Marinette"|"Mayor Bourgeois"|"Alya"|"Stagehand"|"Clara"|"Marinette"|"Alya"|"Adrien"|"Chloé"|"21"
"Frozer"|"47"|"2"|"21"|"14 October 2018"|"0.106837606837607"|"0.47887323943662"|"17"|"-0.0648362715936368"|"Adrien"|"Marinette"|"Philippe"|"Hawk Moth"|"Ladybug"|"Adrien"|"Marinette"|"Kagami"|"Philippe"|"Plagg"|"27"
"Furious Fu"|"83"|"4"|"5"|"30 May 2021"|"0.128205128205128"|"0.611764705882353"|"11"|"-0.160005008142416"|"Marinette"|"Xuppu"|"Marianne"|"Roaar"|"Su-Han"|"Su-Han"|"Marinette"|"Ladybug"|"Cat Noir"|"Wang Fu"|"27"
"Gabriel Agreste"|"98"|"4"|"20"|"14 November 2021"|"0.160968660968661"|"0.514285714285714"|"8"|"-0.0830559686247437"|"Marinette"|"Shadow Moth"|"Zoé"|"Gabriel"|"Collector"|"Gabriel"|"Nathalie"|"Marinette"|"Adrien"|"Chloé"|"27"
"Gamer 2"|"72"|"3"|"20"|"3 November 2019"|"0.115942028985507"|"0.677966101694915"|"17"|"-0.11984779545841"|"Marinette"|"Adrien"|"Max"|"Hawk Moth"|"Roger"|"Ladybug"|"Cat Noir"|"Gamer 2.0"|"Game Voice"|"Marinette"|"24"
"Gamer"|"15"|"1"|"15"|"17 January 2016"|"0.16017316017316"|"0.628571428571429"|"13"|"-0.254205528833583"|"Max"|"Marinette"|"Adrien"|"Kim"|"Mr. Damocles"|"Cat Noir"|"Ladybug"|"Gamer"|"Marinette"|"Adrien"|"22"
"Gang Of Secrets"|"81"|"4"|"3"|"25 April 2021"|"0.109848484848485"|"0.444444444444444"|"10"|"-0.0057502548511389"|"Ladybug"|"Lady Wifi"|"Cat Noir"|"Rena Rouge"|"Princess Fragrance"|"Ladybug"|"Alya"|"Cat Noir"|"Marinette"|"Rose"|"33"
"Gigantitan"|"34"|"2"|"8"|"26 November 2017"|"0.222943722943723"|"0.721649484536082"|"6"|"-0.168427487448405"|"Marinette"|"Hawk Moth"|"Roger"|"Alya"|"August's mother"|"Marinette"|"Alya"|"Rose"|"Mylène"|"Juleka"|"22"
"Glaciator 2"|"95"|"4"|"17"|"24 October 2021"|"0.113333333333333"|"0.516129032258065"|"10"|"-0.428373149266277"|"Cat Noir"|"Marinette"|"Shadow Moth"|"Adrien"|"André"|"Marinette"|"Cat Noir"|"Ladybug"|"Kagami"|"Adrien"|"25"
"Glaciator"|"36"|"2"|"10"|"14 January 2018"|"0.150197628458498"|"0.648648648648649"|"10"|"-0.356488963458968"|"André"|"Marinette"|"Cat Noir"|"Hawk Moth"|"Nathalie"|"Cat Noir"|"Ladybug"|"Marinette"|"Glaciator"|"André"|"23"
"Gorizilla"|"38"|"2"|"12"|"13 May 2018"|"0.112068965517241"|"0.585365853658537"|"9"|"-0.152211330886076"|"Wayhem"|"Gabriel"|"Adrien"|"Marinette"|"Commercial voice and Marinette"|"Adrien"|"Wayhem"|"Marinette"|"Ladybug"|"Hawk Moth"|"29"
"Guiltrip"|"86"|"4"|"8"|"20 June 2021"|"0.162393162393162"|"0.462962962962963"|"5"|"-0.250984729762286"|"Rose"|"Marinette"|"Ladybug"|"Kim"|"Shadow Moth"|"Ladybug"|"Rose"|"Cat Noir"|"Marinette"|"Juleka"|"27"
"Guitar Villain"|"20"|"1"|"20"|"28 February 2016"|"0.177489177489177"|"0.623376623376623"|"16"|"-0.252649913997546"|"Guitar Villain"|"Marinette"|"Alec"|"Hawk Moth"|"Chloé"|"Marinette"|"Guitar Villain"|"Jagged"|"Bob"|"XY"|"22"
"Hack-San"|"93"|"4"|"15"|"10 October 2021"|"0.107007575757576"|"0.596153846153846"|"11"|"-0.115213502719867"|"Marinette"|"Gabriel"|"Alya"|"Markov"|"Shadow Moth"|"Scarabella"|"Cat Noir"|"Robostus"|"Shadow Moth"|"Alya"|"33"
"Heart Hunter"|"77"|"3"|"25"|"8 December 2019"|"0.104166666666667"|"0.504672897196262"|"8"|"-0.229584357387819"|"Hawk Moth"|"Marinette"|"Kagami"|"Ladybug"|"Adrien"|"Marinette"|"Adrien"|"Kagami"|"Luka"|"Ladybug"|"33"
"Horrificator"|"11"|"1"|"11"|"30 October 2015"|"0.271929824561403"|"0.704545454545455"|"9"|"-0.222356183823771"|"Ivan"|"Ladybug"|"Chloé"|"Nino"|"Marinette"|"Marinette"|"Nino"|"Chloé"|"Alya"|"Ladybug"|"19"
"Ikari Gozen"|"69"|"3"|"17"|"29 October 2019"|"0.153985507246377"|"0.536585365853659"|"7"|"-0.222421708989817"|"Marinette"|"Hawk Moth"|"Adrien"|"Kagami"|"Ikari Gozen"|"Marinette"|"Kagami"|"Tikki"|"Tomoe"|"Ladybug"|"24"
"Kung Food"|"14"|"1"|"14"|"10 January 2016"|"0.218421052631579"|"0.734177215189873"|"7"|"-0.242610137561879"|"Kung Food"|"Marinette"|"Hawk Moth"|"Alec"|"Jagged"|"Marinette"|"Adrien"|"Chloé"|"Wang Cheng"|"Kung Food"|"20"
"Kuro Neko"|"100"|"4"|"22"|"20 February 2022"|"0.0833333333333333"|"0.448275862068966"|"18"|"-0.138156961016534"|"Ladybug"|"Cat Noir"|"King Monkey"|"Carapace"|"Gigantitan"|"Ladybug"|"Cat Walker"|"Plagg"|"Adrien"|"Cat Noir"|"28"
"Kwamibuster"|"67"|"3"|"15"|"27 October 2019"|"0.0817923186344239"|"0.418181818181818"|"11"|"-0.0701709006902428"|"Multimouse"|"Kwamibuster"|"Alec"|"Marinette"|"Ms. Mendeleiev"|"Tikki"|"Plagg"|"Marinette"|"Adrien"|"Multimouse"|"38"
"Lady Wifi"|"4"|"1"|"4"|"22 October 2015"|"0.225146198830409"|"0.647887323943662"|"8"|"-0.331291053120516"|"Alya"|"Marinette"|"Chloé"|"Adrien"|"Lady Wifi"|"Ladybug"|"Cat Noir"|"Lady Wifi"|"Alya"|"Marinette"|"19"
"Ladybug & Cat Noir"|"25"|"1"|"25"|"30 October 2016"|"0.116129032258065"|"0.615384615384615"|"10"|"-0.128184323113554"|"Marinette"|"Adrien"|"Nadja"|"Stoneheart"|"Alya"|"Ladybug"|"Cat Noir"|"Alya"|"Marinette"|"Ivan"|"31"
"Ladybug"|"25"|"1"|"25"|"30 October 2016"|"0.114942528735632"|"0.602150537634409"|"14"|"-0.0757275228668817"|"Adrien"|"Lila"|"Marinette"|"Sabine"|"Tom"|"Cat Noir"|"Ladybug"|"Sentimonster Ladybug"|"Mayura"|"Hawk Moth"|"30"
"Lies"|"80"|"4"|"2"|"18 April 2021"|"0.0789915966386555"|"0.593406593406593"|"14"|"-0.187380143224166"|"Cat Noir"|"Adrien"|"Kagami"|"Marinette"|"Ladybug"|"Adrien"|"Kagami"|"Cat Noir"|"Ladybug"|"Plagg"|"35"
"Malediktator"|"50"|"2"|"24"|"28 October 2018"|"0.11505376344086"|"0.634615384615385"|"12"|"-0.311506183788149"|"Chloé"|"Malediktator"|"Marinette"|"Alya"|"Queen Bee"|"Chloé"|"Ladybug"|"Audrey"|"Malediktator"|"Queen Bee"|"31"
"Mayura"|"52"|"2"|"26"|"18 November 2018"|"0.0550416281221092"|"0.424778761061947"|"12"|"-0.033277324151178"|"Scarlet Moth"|"Ladybug"|"Cat Noir"|"Adrien"|"Queen Bee"|"Ladybug"|"Cat Noir"|"Scarlet Moth"|"Rena Rouge"|"Carapace"|"47"
"Mega Leech"|"91"|"4"|"13"|"26 September 2021"|"0.0774390243902439"|"0.483333333333333"|"9"|"-0.259268348625605"|"Mayor Bourgeois"|"Ladybug"|"Marinette"|"Mini-Malediktator"|"Adrien"|"Ladybug"|"Mayor Bourgeois"|"Mylène"|"Marinette"|"Cat Noir"|"41"
"Miracle Queen"|"78"|"3"|"26"|"8 December 2019"|"0.0840336134453782"|"0.425531914893617"|"15"|"0.09231599900671"|"Ladybug"|"Marinette"|"Miracle Queen"|"Hawk Moth"|"Chloé"|"Ladybug"|"Cat Noir"|"Hawk Moth"|"Miracle Queen"|"Dragon Bug"|"35"
"Miraculer"|"63"|"3"|"11"|"22 October 2019"|"0.148148148148148"|"0.591836734693878"|"9"|"-0.0791192088451997"|"Chloé"|"Marinette"|"Ladybug"|"Miraculer"|"Mayura"|"Ladybug"|"Chloé"|"Cat Noir"|"Miraculer"|"Lila"|"27"
