"Character"|"Gender"|"Role"
"???"|"genderless"|""
"??? kwami"|"genderless"|""
"1st Passenger"|"genderless"|""
"2nd Passenger"|"genderless"|""
"Adrien"|"male"|""
"Adrien & Marinette"|"genderless"|""
"Adrien and Kagami"|"genderless"|""
"Adrien and Ladybug"|"genderless"|""
"Adrien and Luka"|"genderless"|""
"Adrien and Marinette"|"genderless"|""
"Adrien, Alya and Marinette"|"genderless"|""
"Adrien, Aurore & Mireille"|"genderless"|""
"Adrien, Luka, and Marinette"|"genderless"|""
"Adrien's bodyguard"|"male"|""
"Adrien's fans"|"genderless"|""
"Adrien's Headphones"|"genderless"|""
"Adrien's Phone"|"genderless"|""
"Adrien's voice recorder"|"genderless"|""
"Adrien's voicemail"|"genderless"|""
"Adrien's Voicemail"|"genderless"|""
"Akuma"|"genderless"|"villain"
"Akumatized Ladybug Illusion"|"female"|""
"Alarm voice"|"genderless"|""
"Albert"|"male"|""
"Alec"|"male"|""
"Alec & Marlena"|"genderless"|""
"Alim Kubdel"|"male"|""
"Alix"|"female"|""
"Alix & Adrien"|"genderless"|""
"Alix, Kim, Max and Mr. Damocles"|"genderless"|""
"All"|"genderless"|""
"All Girls"|"female"|""
"All the girls except Marinette"|"female"|""
"All the infected Parisians"|"genderless"|""
"All Three"|"genderless"|""
"Alya"|"female"|""
"Alya & Marinette"|"genderless"|""
"Alya and Marinette"|"genderless"|""
"Alya and Nino"|"genderless"|""
"Alya and Rena Furtive"|"genderless"|""
"Alya Césaire"|"female"|""
"Alya, Rose, and Juleka"|"genderless"|""
"Alya, Rose, Juleka, and Mylène"|"genderless"|""
"Amelie"|"female"|""
"Anansi"|"female"|"villain"
"Anarka"|"female"|""
"André"|"male"|""
"André and Audrey"|"genderless"|""
"André Bourgeois"|"male"|""
"André Glacier"|"male"|""
"André Heart Hunter"|"male"|""
"Animaestro"|"male"|"villain"
"Animan"|"male"|"villain"
"Anne-Jeanne"|"female"|""
"Announcement"|"male"|""
"Announcer"|"male"|""
"Antibug"|"female"|"villain"
"App"|"genderless"|""
"Aqua Ladybug"|"female"|""
"Aqua Noir"|"male"|""
"Aquabug"|"female"|""
"Aquabug & Aqua Noir"|"genderless"|""
"Arlette"|"female"|""
"Armand"|"male"|""
"Aspik"|"male"|""
"Astro Cat"|"male"|""
"Audience"|"genderless"|""
"Audrey"|"female"|""
"Audrey and André Heart Hunter"|"genderless"|""
"Audrey Heart Hunter"|"male"|""
"August"|"male"|""
"August's mother"|"female"|""
"Aurore"|"female"|""
"Aurore Beauréal"|"female"|""
"Automated voice"|"genderless"|""
"Backwarder"|"male"|"villain"
"Bakerix"|"male"|"villain"
"Barkk"|"genderless"|"kwami"
"Bear"|"genderless"|"kwami"
"Bear kwami"|"genderless"|"kwami"
"Beaver kwami"|"genderless"|"kwami"
"Befana"|"female"|"villain"
"Blue Knight In Movie"|"male"|""
"Bob"|"male"|""
"Bob Roth"|"male"|""
"Bodyguard"|"male"|""
"Both"|"genderless"|""
"Boy"|"male"|""
"Boy 1"|"male"|""
"Boy 2"|"male"|""
"Boys"|"male"|""
"Bubbler"|"male"|"villain"
"Buffalo kwami"|"genderless"|"kwami"
"Bunnyx"|"female"|""
"Bus driver"|"male"|""
"Bus Driver"|"male"|""
"Butler Jean"|"male"|""
"Bystander"|"male"|""
"Caline"|"female"|""
"Cameraman"|"male"|""
"Caprikid"|"male"|""
"Captain Hardrock"|"male"|"villain"
"Captain Hessenpy"|"male"|""
"Carapace"|"male"|""
"Carapace, Ladybug and Cat Noir"|"genderless"|""
"Carapace, Pegasus, Vesperia and Pigella"|"genderless"|""
"Cat Blanc"|"male"|"villain"
"Cat Noir"|"male"|""
"Cat Noir and Alix"|"genderless"|""
"Cat Noir and Jagged"|"genderless"|""
"Cat Noir and Ladybug"|"genderless"|""
"Cat Noir and Marinette"|"genderless"|""
"Cat Noir and Rena Furtive"|"genderless"|""
"Cat Noir Illusion"|"male"|""
"Cat Noir's voice"|"genderless"|""
"Cat Noir's voicemail"|"genderless"|""
"Cat Walker"|"male"|""
"Catalyst"|"female"|"villain"
"Chameleon"|"female"|"villain"
"Cheeses"|"genderless"|"kwami"
"Child"|"genderless"|""
"Child passenger"|"genderless"|""
"Children"|"genderless"|""
"Chloé"|"female"|""
"Chloé and Audrey"|"genderless"|""
"Chloé and Ladybug"|"genderless"|""
"Chloé and Marinette in unison"|"genderless"|""
"Chloé and Sabrina"|"genderless"|""
"Chorus"|"genderless"|""
"Chris"|"male"|""
"Christmaster"|"male"|"villain"
"Citizen 1"|"genderless"|""
"Citizen 2"|"genderless"|""
"Citizen 3"|"genderless"|""
"Citizen 4"|"genderless"|""
"Civilian"|"genderless"|""
"Civilian #1"|"genderless"|""
"Civilian #2"|"genderless"|""
"Civilian #3"|"genderless"|""
"Civilian 1"|"genderless"|""
"Civilian 2"|"genderless"|""
"Civilians"|"genderless"|""
"Clara"|"female"|""
"Clara Contard"|"female"|""
"Clara, Cameraman, and pilot"|"genderless"|""
"Class"|"genderless"|""
"Classmates"|"genderless"|""
"Claudie"|"female"|""
"Collector"|"male"|""
"Colonel Woof-Woof"|"male"|""
"Commentator"|"male"|""
"Commercial voice"|"genderless"|""
"Commercial voice and Marinette"|"genderless"|""
"Commuter"|"genderless"|""
"Computer"|"genderless"|""
"Computer voice"|"genderless"|""
"Copycat"|"male"|"villain"
"Cosmobug"|"female"|""
"Cosmobug and Astro Cat"|"genderless"|""
"Cucumber"|"genderless"|""
"Cyclist"|"male"|""
"Daizzi"|"genderless"|"kwami"
"Dark Cupid"|"male"|"villain"
"Dark Owl"|"male"|"villain"
"Darkblade"|"male"|"villain"
"Dearest Family"|"genderless"|""
"Deer kwami"|"genderless"|"kwami"
"Despair Bear"|"male"|"villain"
"Desperada"|"female"|"villain"
"Didier Roustan"|"male"|""
"Doctor"|"male"|""
"Doorman"|"male"|""
"Dormant Sentimonster"|"male"|"villain"
"Dough"|"genderless"|""
"Dragon Bug"|"female"|""
"Duusu"|"genderless"|"kwami"
"Ella"|"female"|""
"Ella and Etta"|"genderless"|""
"Ella, Etta, Manon, Chris"|"genderless"|""
"Ephemeral"|"male"|"villain"
"Etta"|"female"|""
"Etta & Ella"|"genderless"|""
"Everyone"|"genderless"|""
"Everyone except Marinette"|"genderless"|""
"Evillustrator"|"male"|""
"Evillustrator"|"male"|"villain"
"Falcon kwami"|"genderless"|"kwami"
"Fan"|"genderless"|""
"Fans"|"genderless"|""
"Feast"|"genderless"|"villain"
"Félix"|"male"|""
"Female civilian"|"female"|""
"Female commercial voice"|"female"|""
"Fire captain"|"male"|""
"Firefighter"|"male"|""
"Firefighters"|"genderless"|""
"Fireman"|"male"|""
"Firetruck Driver"|"male"|""
"Flairmidable"|"male"|""
"Flashback Alya"|"female"|""
"Fleeing girl"|"female"|""
"Fluff"|"genderless"|"kwami"
"Fred"|"male"|""
"Frightningale"|"female"|"villain"
"Froggy"|"male"|""
"Froggy's Dad"|"male"|""
"Froggy's Mom"|"female"|""
"Frozer"|"male"|"villain"
"Furious Fu"|"male"|"villain"
"Future Alix"|"female"|""
"Future Ladybug"|"female"|""
"Gabriel"|"male"|""
"Gabriel's voicemail"|"genderless"|""
"Game Voice"|"male"|""
"Gamer"|"male"|"villain"
"Gamer 2.0"|"male"|"villain"
"Gang of Secrets"|"genderless"|""
"Ghosts of The Guardians"|"genderless"|""
"Gigantian"|"male"|"villain"
"Gigantitan"|"male"|"villain"
"Gilbert"|"male"|""
"Gina"|"female"|""
"Girl"|"female"|""
"Girls"|"female"|""
"Glaciator"|"male"|"villain"
"Goose kwami"|"genderless"|"kwami"
"Gorizilla"|"male"|"villain"
"GPS voice"|"genderless"|""
"Guard 1"|"male"|""
"Guard 2"|"male"|""
"Guard 3"|"male"|""
"Guards"|"genderless"|""
"Guards 1"|"genderless"|""
"Guards 2"|"genderless"|""
"Guards in helicopter"|"genderless"|""
"Guitar Villain"|"male"|"villain"
"Harry"|"male"|""
"Harry and Marinette"|"genderless"|""
"Hawk Moth"|"male"|"villain"
"Helicopter Pilot"|"male"|""
"Heroes"|"genderless"|""
"Hessenpy"|"male"|""
"Horrificator"|"female"|"villain"
"Icecat"|"male"|""
"Ikari Gozen"|"female"|"villain"
"Italian couple"|"genderless"|""
"Ivan"|"male"|""
"Ivan, Mylène, Sabrina"|"genderless"|""
"Jade Turtle"|"male"|""
"Jagged"|"male"|""
"Jagged Stone"|"male"|""
"Jalil"|"male"|""
"Jean"|"male"|""
"Jean Duparc"|"male"|""
"Jean Tretiens"|"male"|""
"Jean-Pierre"|"male"|""
"Jeanne d'Arc"|"female"|""
"Journalist"|"genderless"|""
"Juleka"|"female"|""
"Juleka & Luka"|"genderless"|""
"Juleka & Rose"|"genderless"|""
"Juleka and Luka"|"genderless"|""
"Juleka, Rose, and Alya"|"genderless"|""
"Kaalki"|"genderless"|"kwami"
"Kagami"|"female"|""
"Kid"|"genderless"|""
"Kid 1"|"genderless"|""
"Kid 2"|"genderless"|""
"Kid Passenger"|"genderless"|""
"Kid's Father"|"male"|""
"Kids"|"genderless"|""
"Kids and Teen"|"genderless"|""
"Kim"|"male"|""
"King Monkey"|"male"|""
"Knight"|"male"|""
"Knights"|"genderless"|""
"Kung Food"|"male"|"villain"
"kwamibuster"|"male"|"villain"
"kwamis"|"genderless"|"kwami"
"Kwamis"|"genderless"|""
"Lady Bee"|"female"|""
"Lady Noire"|"female"|""
"Lady Noire"|"female"|""
"Lady Noire & Mister Bug"|"genderless"|""
"Lady Wifi"|"female"|"villain"
"Ladybug"|"female"|""
"Ladybug & Cat Noir"|"genderless"|""
"Ladybug and Alya"|"genderless"|""
"Ladybug and Carapace"|"genderless"|""
"Ladybug and Cat Noir"|"genderless"|""
"Ladybug and Cat Walker"|"genderless"|""
"Ladybug and Flairmidable"|"genderless"|""
"Ladybug and Plagg"|"genderless"|""
"Ladybug and Su-Han"|"genderless"|""
"Ladybug and the kids"|"genderless"|""
"Ladybug from 10 minutes"|"female"|""
"Ladybug, Cat Noir and Alix"|"genderless"|""
"Ladybug, Cat Noir and Marianne"|"genderless"|""
"Ladybug, Cat Noir and Pigella"|"genderless"|""
"Ladybug, Cat Noir, & Master Fu"|"genderless"|""
"Ladybug, Cat Noir, & Purple Tigress"|"genderless"|""
"Ladybug, Cat Noir, & Viperion"|"genderless"|""
"Ladybug, Cat Noir, and Alya"|"genderless"|""
"Ladybug, Cat Noir, and Marianne"|"genderless"|""
"Ladybug, Cat Noir, and Rena Rouge"|"genderless"|""
"Ladybug, Cat Noir, and Santa Claus"|"genderless"|""
"Ladybug, Cat Noir, and Viperion"|"genderless"|""
"Ladybug, Rena Rouge and Senticarapace"|"genderless"|""
"Ladybug, Rena Rouge, and Cat Noir"|"genderless"|""
"Ladybug, Ryuko, Polymouse, King Monkey and Purple Tigress"|"genderless"|""
"Ladybugs"|"female"|""
"Ladyice"|"female"|""
"Ladyice & Cat Noir"|"genderless"|""
"Lies"|"female"|"villain"
"Liiri"|"genderless"|"kwami"
"Lila"|"female"|""
"Lila's Mother"|"female"|""
"Lila's mother"|"female"|""
"Little Girl"|"female"|""
"Longg"|"genderless"|"kwami"
"Lucky Charm Sequence Ladybug"|"female"|""
"Luka"|"male"|""
"Luka and Jagged"|"genderless"|""
"Malediktator"|"male"|"villain"
"Man"|"male"|""
"Man on the TV"|"male"|""
"Man with a red beret"|"male"|""
"Manon"|"male"|""
"Manon Chamack"|"male"|""
"Manon, Chris, Ella and Etta"|"genderless"|""
"Manon, Ella, Etta and Chris"|"genderless"|""
"Marc"|"male"|""
"Marc and Nathaniel"|"genderless"|""
"Marianne"|"female"|""
"Marinanne"|"female"|""
"Marinette"|"female"|""
"Marinette and Adrien"|"genderless"|""
"Marinette and her classmates, sans Chloé"|"genderless"|""
"Marinette and Lila"|"genderless"|""
"Marinette and Nino"|"genderless"|""
"Marinette and Tikki"|"genderless"|""
"Marinette Dupain-Cheng"|"female"|""
"Marinette Illusion"|"female"|""
"Marinette, Alya and Nino"|"genderless"|""
"Marinette, Alya, and Max"|"genderless"|""
"Marinette, Nino, & Alya"|"genderless"|""
"Marinette's phone"|"genderless"|""
"Marinette's voicemail"|"genderless"|""
"Markov"|"male"|""
"Marlena"|"female"|""
"Master Fu"|"male"|""
"Max"|"male"|""
"Max and Kim"|"genderless"|""
"Max, Ladybug, and Cat Noir"|"genderless"|""
"Mayor"|"male"|""
"Mayor Bourgeois"|"male"|""
"Mayura"|"female"|""
"Mechatiger"|"male"|""
"Mini-Malediktator"|"male"|""
"Minotaurox"|"male"|""
"Miracle Queen"|"female"|"villain"
"Miraculer"|"female"|"villain"
"Mireille"|"female"|""
"Miss Bustier"|"female"|""
"Miss Bustier's class"|"genderless"|""
"Miss Hound"|"female"|""
"Mister Bug"|"male"|""
"Moolak"|"male"|"villain"
"Mother"|"female"|""
"Movie"|"genderless"|""
"Movie patron"|"genderless"|""
"Mr. Banana"|"male"|""
"Mr. Bourgeois"|"male"|""
"Mr. D'Argencourt"|"male"|""
"Mr. Damocles"|"male"|""
"Mr. Kubdel"|"male"|""
"Mr. Pigeon"|"male"|"villain"
"Mr. Ramier"|"male"|""
"Mrs. Michelle"|"female"|""
"Mrs. Tsurugi"|"female"|""
"Ms. Bustier"|"female"|""
"Ms. Chamack"|"female"|""
"Ms. Lenoir"|"female"|""
"Ms. Mendeleiev"|"female"|""
"Ms. Mendeleiev's class"|"female"|""
"Mullo"|"genderless"|"kwami"
"Multimouse"|"female"|""
"Mummies"|"genderless"|""
"Museum employee"|"genderless"|""
"Mylène"|"female"|""
"Nadja"|"female"|""
"Nadja Chamack"|"female"|""
"Nate and Marc"|"genderless"|""
"Nathalie"|"female"|""
"Nathaniel"|"female"|""
"Nazi"|"male"|""
"Nightmare Adrien"|"male"|""
"Nightmare Adrien"|"male"|""
"Nightmare Ladybug"|"female"|""
"Nino"|"male"|""
"Nino & Marinette"|"genderless"|""
"Nino and Alya"|"genderless"|""
"Nooroo"|"genderless"|"kwami"
"Nora"|"female"|""
"Nora and Alya"|"genderless"|""
"Oblivio"|"male"|""
"Officer"|"male"|""
"Officer Roger"|"male"|""
"Ondine"|"female"|""
"Oni-Сhan"|"female"|"villain"
"Orikko"|"genderless"|"kwami"
"Otis"|"male"|""
"Otter kwami"|"genderless"|"kwami"
"Owl kwami"|"genderless"|"kwami"
"Paparazzi"|"genderless"|""
"Parisian"|"genderless"|""
"Parisian 1"|"genderless"|""
"Parisian 2"|"genderless"|""
"Parisian 3"|"genderless"|""
"Parisians"|"genderless"|""
"Party Crasher"|"male"|"villain"
"Passenger"|"genderless"|""
"Passenger 1"|"genderless"|""
"Passenger 2"|"genderless"|""
"Passenger Jean-Pierre"|"female"|""
"Passenger Nicole"|"female"|""
"Past Alix"|"female"|""
"Past Ladybug"|"female"|""
"Past Marinette"|"female"|""
"Past Tikki"|"genderless"|"kwami"
"Pegabug"|"female"|""
"Pegasus"|"female"|""
"Penalteam"|"genderless"|""
"Penalty"|"female"|"villain"
"Penalty 1"|"female"|""
"Penalty 2"|"female"|""
"Penalty 3"|"female"|""
"Penalty 4"|"female"|""
"Penalty 5"|"female"|""
"Penalty 6"|"female"|""
"Penalty 7"|"female"|""
"Penalty clone"|"female"|""
"Penny"|"female"|""
"Penny Rolling"|"female"|""
"Pennybug"|"female"|""
"Person"|"genderless"|""
"Person on the helicopter"|"genderless"|""
"Pharaoh"|"male"|"villain"
"Pharmacist"|"genderless"|""
"Philippe"|"male"|""
"Philippe and Cat Noir"|"genderless"|""
"Philippe and Ladybug"|"genderless"|""
"Phone"|"genderless"|""
"Phone Alarm"|"genderless"|""
"Pigella"|"female"|""
"Pilot"|"genderless"|""
"Pixelator"|"male"|"villain"
"Pizza Delivery guy"|"male"|""
"Plagg"|"genderless"|"kwami"
"Police"|"genderless"|""
"Pollen"|"genderless"|"kwami"
"Polymouse"|"female"|""
"Polymouse, King Monkey and Purple Tigress"|"genderless"|""
"Post- Pegabug"|"female"|""
"Prime Queen"|"female"|"villain"
"Prince Ali"|"male"|""
"Prince Ali's chaperone"|"male"|""
"Princess Fragrance"|"female"|"villain"
"Principal Damocles"|"male"|""
"Protesters"|"genderless"|""
"Psycomedian"|"male"|"villain"
"Puppeteer"|"female"|"villain"
"Puppeteer and Cat Noir"|"genderless"|""
"Purple Tigress"|"female"|""
"Qilin"|"female"|"villain"
"Queen Banana"|"female"|"villain"
"Queen Bee"|"female"|""
"Queen Wasp"|"female"|"villain"
"Quentin's mother"|"female"|""
"Random Civilian"|"genderless"|""
"Raven kwami"|"genderless"|"kwami"
"Receptionist"|"genderless"|""
"Recycling Man"|"male"|""
"Red Knight In Movie"|"male"|""
"Reflekta"|"female"|"villain"
"Rena Furtive"|"female"|""
"Rena Rouge"|"female"|"villain"
"Reporters"|"genderless"|""
"Reverser"|"female"|"villain"
"Riposte"|"female"|"villain"
"Risk"|"male"|"villain"
"Roaar"|"genderless"|"kwami"
"Robo Tech Ultimate Destructor"|"genderless"|""
"Robostus"|"genderless"|"villain"
"Rocketear"|"male"|"villain"
"Roger"|"male"|""
"Roger and Qilin"|"genderless"|""
"Roger Raincomprix"|"male"|""
"Rogercop"|"male"|"villain"
"Rolland"|"male"|""
"Rolland and Marinette"|"genderless"|""
"Rooster Bold"|"male"|""
"Rose"|"female"|""
"Rose & Daizzi"|"genderless"|""
"Rose, Alix, & Mylène"|"genderless"|""
"Rose, Max and others"|"genderless"|""
"Rythm"|"female"|""
"Ryuko"|"female"|""
"Sabine"|"female"|""
"Sabine and Tom"|"genderless"|""
"Sabine's voicemail"|"genderless"|""
"Sabrina"|"female"|""
"Salmon kwami"|"genderless"|"kwami"
"SandBoy"|"male"|"villain"
"Santa Claus"|"male"|""
"Santa Claus and Ladybug"|"genderless"|""
"Santa Claus Claws"|"male"|"villain"
"Santa Claws"|"male"|"villain"
"Sapoti"|"genderless"|"villain"
"Sapoti driver"|"genderless"|""
"Sapoti pedaler"|"genderless"|""
"Sapoti rider"|"genderless"|""
"Sapotis"|"genderless"|""
"Sarah"|"female"|""
"Sass"|"genderless"|"kwami"
"Sass & Pollen"|"genderless"|""
"Scarabella"|"female"|""
"Scarabella and Cat Noir"|"genderless"|""
"Scarlet Moth"|"male"|""
"Sentialec"|"male"|""
"Sentibubbler"|"male"|""
"Sentibubbler and Shadow Moth"|"genderless"|""
"Senticarapace"|"male"|""
"Sentimonster"|"genderless"|"villain"
"Sentimonster Gabriel"|"male"|"villain"
"Sentimonster Ladybug"|"genderless"|"villain"
"Sentinino"|"male"|"villain"
"Service Drone"|"genderless"|""
"Service Drone 1"|"genderless"|""
"Service Drone 2"|"genderless"|""
"Shadow Moth"|"male"|"villain"
"Shadow Moth and Sentibubbler"|"genderless"|""
"Shadow Moth through Senticarapace"|"genderless"|""
"Shadow Moth through Sentinino"|"genderless"|""
"Shadownoir"|"male"|"villain"
"Sharktank"|"genderless"|""
"Shell Shock"|"male"|"villain"
"Silencer"|"male"|"villain"
"Simon"|"male"|""
"Simon Says"|"male"|"villain"
"Simpleman"|"male"|"villain"
"Smart Watch"|"genderless"|""
"Soldier"|"male"|""
"Soldiers"|"genderless"|""
"Sole Crusher"|"female"|"villain"
"Staff"|"genderless"|""
"Staff towards Arlette's left"|"genderless"|""
"Stage manager"|"genderless"|""
"Stagehand"|"female"|""
"Startrain"|"female"|"villain"
"Stompp"|"genderless"|"kwami"
"Stoneheart"|"male"|"villain"
"Stormy Weather"|"female"|"villain"
"Strikeback"|"male"|""
"Student"|"genderless"|""
"Student on Marinette's right"|"genderless"|""
"Student to Marinette's left"|"genderless"|""
"Students"|"genderless"|""
"Students and Jean-Pierre Monlataing"|"genderless"|""
"Style Queen"|"female"|"villain"
"Stylist"|"genderless"|""
"Su-Han"|"male"|""
"Subway rider"|"genderless"|""
"Superpower Sequence Aspik"|"male"|""
"Superpower Sequence Cat Noir"|"male"|""
"Superpower sequence Ladybug"|"female"|""
"Superpower Sequence Ladybug"|"female"|""
"Superpower Sequence Purple Tigress"|"female"|""
"Superpower Sequence Viperion"|"female"|""
"Syren"|"female"|"villain"
"T-rex"|"genderless"|""
"Tatsu"|"female"|""
"Taxi Driver"|"genderless"|""
"Teacher"|"genderless"|""
"Teenagers"|"genderless"|""
"The Collector"|"male"|"villain"
"The girls"|"female"|""
"The Gorilla"|"male"|""
"The heroes"|"genderless"|""
"The kids"|"genderless"|""
"The Mime"|"male"|"villain"
"The other girls"|"female"|""
"The Pharaoh"|"male"|""
"The Punishers Trio"|"genderless"|""
"The Rest of the kwamis"|"genderless"|""
"The rest of the Kwamis"|"genderless"|""
"Théo"|"male"|""
"Thomas"|"male"|""
"Thunderbird kwami"|"genderless"|"kwami"
"Ticket Inspector"|"male"|""
"Tikki"|"genderless"|"kwami"
"Tikki & Plagg"|"genderless"|""
"Timebreaker"|"female"|"villain"
"Timebreaker 1"|"genderless"|""
"Timebreaker 2"|"genderless"|""
"Timebreakers"|"genderless"|""
"Timetagger"|"male"|"villain"
"Tom"|"male"|""
"Tom & Sabine"|"genderless"|""
"Tom and Jagged"|"genderless"|""
"Tom and Marinette"|"genderless"|""
"Tom and Sabine"|"genderless"|""
"Tom, Sabine, and Cat Noir"|"genderless"|""
"Tom, Sabine, Marinette & André"|"genderless"|""
"Tomoe"|"female"|""
"Toy Cat Noir"|"male"|""
"Toy Ladybug"|"female"|""
"Toy Vendor"|"genderless"|""
"Trailer"|"genderless"|""
"Train conductor"|"genderless"|""
"Train Manager"|"genderless"|""
"Translator App"|"genderless"|""
"Translator app"|"genderless"|""
"Trixx"|"genderless"|"kwami"
"Trixx and Pollen"|"genderless"|""
"Troublemaker"|"female"|"villain"
"Truth"|"male"|"villain"
"Unknown"|"genderless"|"villain"
"Unknown Boy"|"male"|""
"Unknown girl"|"female"|""
"Unknown man"|"male"|""
"Unknown Voice"|"genderless"|""
"Unnamed person with a fishing rod"|"genderless"|""
"Unnamed presenter"|"genderless"|""
"Vanisher"|"female"|"villain"
"Various Passengers"|"genderless"|""
"Verity Queen"|"female"|"villain"
"Véronique"|"female"|""
"Vesperia"|"female"|""
"Vincent"|"male"|""
"Viperion"|"male"|""
"Vivica"|"female"|""
"Voice message"|"genderless"|""
"Voice on intercom"|"genderless"|""
"Voice recording of Tomoe"|"genderless"|""
"Volpina"|"female"|"villain"
"Waitress"|"female"|""
"Wang Cheng"|"male"|""
"Wang Cheng"|"male"|""
"Wang Fu"|"male"|""
"Wang Fu"|"male"|""
"Watch"|"genderless"|""
"Wayem's friend"|"genderless"|""
"Wayhem"|"male"|""
"Wayzz"|"genderless"|"kwami"
"Wayzz and Barkk"|"genderless"|""
"Wayzz and Tikki"|"genderless"|""
"Weredad"|"male"|"villain"
"Wig Seller"|"genderless"|""
"Wishmaker"|"male"|"villain"
"Wolf kwami"|"genderless"|"kwami"
"Woman"|"female"|""
"Woman inside building"|"female"|""
"Woodpecker kwami"|"genderless"|"kwami"
"Worker"|"genderless"|""
"Xavier"|"male"|""
"Xuppu"|"genderless"|"kwami"
"Xuppu and Daizzi"|"genderless"|""
"XY"|"male"|""
"Ziggy"|"genderless"|"kwami"
"Zoé"|"female"|""
"Zombie"|"genderless"|""
"Zombizou"|"female"|"villain"
"Gamer 2.0"|"male"|"villain"
"Dark Owl"|"male"|"villain"
"Prime Queen"|"female"|"villain"
"Ticket Inspector"|"genderless"|""
"Game Voice"|"genderless"|""
"Oni-Chan"|"female"|"villain"
"Santa Claus Claws"|"male"|"villain"
"Queen Wasp"|"female"|"villain"
